Epoch;Loss;Validation Loss;Validation Accuracy
1;0.44312725085765126;2.514742207527161;0.565625011920929
2;0.1506741381250322;0.3297114700078964;0.890625
3;0.10236217882484197;0.4281195536255836;0.846875011920929
4;0.12227753889746965;0.828008645772934;0.8062500357627869
5;0.0608869394287467;0.10903320144861936;0.9593750238418579
6;0.02689626372884959;0.7111108034849167;0.7750000357627869
7;0.026315090252319352;0.1567169934976846;0.9593750238418579
8;0.054230359540088105;0.7747709572315216;0.78125
9;0.02936808193917386;0.0834812818095088;0.965624988079071
10;0.00704915561946109;0.08535619685426354;0.965624988079071
11;0.001405792588411714;0.041002878546714784;0.981249988079071
12;0.0006524024955069762;0.0684193396475166;0.971875011920929
13;0.0007601767938467674;0.05901468619704246;0.9750000238418579
14;0.0005036449430917856;0.06669269476551562;0.9750000238418579
15;0.0004729893378680572;0.07818229324184359;0.96875
16;0.0004680173937231302;0.0715646254713647;0.9750000238418579
17;0.000312288382974657;0.0664415302569978;0.9750000238418579
18;0.00023693893817835487;0.07217874308116734;0.971875011920929
19;0.00031854608614594325;0.06367239761166274;0.9781250357627869
20;0.00015999562228898866;0.049596423108596355;0.981249988079071
21;0.0001073792491297354;0.06581836950499564;0.981249988079071
22;0.00012150964521424612;0.055962609103880824;0.984375
23;0.00014420700681512245;0.06761458769906312;0.9750000238418579
24;0.0001330322793819505;0.06635093787917867;0.9781250357627869
25;0.0001887682741653407;0.05164167028851807;0.981249988079071
26;0.0001978541172320547;0.055579140037298205;0.9781250357627869
27;0.00012269941798876972;0.05319704697467387;0.9781250357627869
28;0.00019291606986371335;0.06751431387965567;0.9781250357627869
29;0.00018866398841055343;0.06495866373297758;0.981249988079071
30;0.0002946507212072902;0.06292298643966206;0.984375
31;0.00023015080605546246;0.06391891182283871;0.981249988079071
32;0.00020400759913172806;0.0589524494134821;0.984375
