Epoch;Loss;Validation Loss;Validation Accuracy
1;0.4069515340030193;1.2325591564178466;0.8343750238418579
2;0.22701246924698354;4.174672198295593;0.53125
3;0.14094727002084256;9.623174571990967;0.6000000238418579
4;0.11018471866846084;0.8146548807621002;0.840624988079071
5;0.06318211813922972;0.145421857945621;0.953125
6;0.04045302307640668;0.8854059875011444;0.75
7;0.0343783858770621;0.6808430582284928;0.840624988079071
8;0.029022862616693602;0.1365364257246256;0.9468750357627869
9;0.009228395125683164;0.20810542339459062;0.9437500238418579
10;0.007525023852576851;0.0943937714851927;0.971875011920929
11;0.004881572888007213;0.5495377033948898;0.9125000238418579
12;0.0036305912304214873;0.12755738506675698;0.953125
13;0.005091114566857869;0.11037998917745426;0.965624988079071
14;0.001950340957091612;0.1128197108861059;0.956250011920929
15;0.004746851449226597;0.1071712167991791;0.965624988079071
16;0.010986994371251058;0.2774050690815784;0.940625011920929
17;0.0122400801636104;0.14097779896110296;0.9468750357627869
18;0.006644830757704767;0.17306158675346522;0.9593750238418579
19;0.0008228155587403308;0.14332176186144352;0.9593750238418579
20;0.0008061988452141122;0.15718187486636453;0.96875
21;0.0013564232862108838;0.22002203567535616;0.956250011920929
22;0.0005059209936916886;0.18112142579630017;0.971875011920929
23;0.00023861180667381632;0.1810097752168076;0.965624988079071
24;0.0003252576347563263;0.15323992204503156;0.971875011920929
25;0.00040468893107572514;0.16386003861261997;0.965624988079071
26;0.0009974176016385172;0.1953635592974024;0.965624988079071
27;0.00025783630057958363;0.17798367887735367;0.96875
28;0.00020880565396055317;0.17315978680271654;0.96875
29;0.0002688921375352038;0.17852214088488835;0.96875
30;0.0001337228035708904;0.17411628064000978;0.96875
31;7.114517943591636e-05;0.17296003554947675;0.96875
32;0.0004898817252410482;0.1788974884606432;0.96875
