Epoch;Loss;Validation Loss;Validation Accuracy
1;0.6209561407566071;0.7592702507972717;0.5250000357627869
2;0.5525096833705903;0.5571386814117432;0.875
3;0.5316055953502655;0.5369486113389333;0.637499988079071
4;0.5220973908901214;0.5270459155241648;0.7875000238418579
5;0.521024015545845;0.6971375346183777;0.5375000238418579
6;0.5230463862419128;0.5780766010284424;0.925000011920929
7;0.5124607801437377;0.5226664145787557;0.574999988079071
8;0.513437706232071;0.6292410095532736;0.6000000238418579
9;0.5231359779834748;0.6603773434956869;0.550000011920929
10;0.5184970080852509;0.5428595741589864;0.6500000357627869
11;0.516563555598259;0.5753653844197592;0.800000011920929
12;0.5207679003477097;0.5143796304861704;0.5375000238418579
13;0.514265263080597;0.532183955113093;0.637499988079071
14;0.5150138139724731;0.52418652176857;0.6000000238418579
15;0.5186486870050431;0.5173519253730774;0.737500011920929
16;0.5078461945056916;0.5335210164388021;0.8500000238418579
17;0.5067639708518982;0.5176167488098145;0.675000011920929
18;0.5088014721870422;0.5507723490397135;0.800000011920929
19;0.5274271190166473;0.5977077484130859;0.6000000238418579
20;0.506596001982689;0.5977336168289185;0.5375000238418579
21;0.5063564777374268;0.5141226053237915;0.5625
22;0.5058315694332123;0.5171245733896891;0.637499988079071
23;0.5056814432144165;0.521860678990682;0.6875
24;0.5057105183601379;0.5219659606615702;0.7125000357627869
25;0.5056523591279983;0.5182164907455444;0.699999988079071
26;0.5057293772697449;0.5120481451352438;0.7125000357627869
27;0.5061449766159057;0.5522712369759878;0.574999988079071
28;0.5177722156047821;0.6903252998987833;0.7875000238418579
29;0.5126798868179321;0.5390101075172424;0.675000011920929
30;0.5194237798452377;0.6159884730974833;0.8375000357627869
31;0.5202280074357987;0.5601191520690918;0.7875000238418579
32;0.5248003959655761;0.5448741614818573;0.800000011920929
33;0.5120279103517532;0.5314689179261526;0.75
34;0.5145181238651275;0.5190520087877909;0.800000011920929
35;0.5113609224557877;0.520090788602829;0.675000011920929
36;0.5077343463897706;0.549728532632192;0.8500000238418579
37;0.5126962840557099;0.5362890164057413;0.862500011920929
38;0.5083604037761689;0.5472615559895834;0.824999988079071
39;0.5058912813663483;0.5359431306521097;0.737500011920929
40;0.5077255010604859;0.5296310385068258;0.5625
41;0.5059185832738876;0.5231751104195913;0.699999988079071
42;0.5059061050415039;0.5276545286178589;0.75
43;0.5093890964984894;0.5589767893155416;0.5625
44;0.507885554432869;0.5353169242540995;0.6500000357627869
45;0.5064406782388687;0.5234124859174093;0.862500011920929
46;0.5056292355060578;0.5228878259658813;0.875
47;0.5056255549192429;0.5284744501113892;0.8500000238418579
48;0.505613723397255;0.5330083866914114;0.8125
49;0.5055916666984558;0.535765548547109;0.8125
50;0.5058861821889877;0.5404300093650818;0.7875000238418579
51;0.5056556284427642;0.5404103795687357;0.762499988079071
52;0.5055970847606659;0.540141224861145;0.762499988079071
53;0.5055875539779663;0.5390371282895406;0.762499988079071
54;0.5056028068065643;0.5377772649129232;0.7750000357627869
55;0.5055816948413849;0.5377170443534851;0.7750000357627869
56;0.5055806070566178;0.5361999670664469;0.7750000357627869
57;0.5056045293807984;0.5288584232330322;0.800000011920929
58;0.5055834710597992;0.5279108583927155;0.8125
59;0.5055804640054703;0.5297235349814097;0.8125
60;0.505580386519432;0.5292254090309143;0.8125
61;0.5056202113628387;0.5289779702822367;0.8125
62;0.5055837273597718;0.5290422836939493;0.8125
63;0.5055808454751969;0.5324602027734121;0.7750000357627869
64;0.5055807530879974;0.5308071573575338;0.7750000357627869
65;0.5055830419063568;0.5291568140188853;0.8125
66;0.5055873841047287;0.5323697427908579;0.800000011920929
67;0.5055847406387329;0.5317418177922567;0.800000011920929
68;0.5055918306112289;0.5306206444899241;0.800000011920929
69;0.5055811166763305;0.5295083423455557;0.8125
70;0.5055830746889114;0.5284018218517303;0.8125
71;0.5055818557739258;0.5285600225130717;0.8125
72;0.5055854111909867;0.5281109809875488;0.8125
73;0.505581596493721;0.527920126914978;0.8125
74;0.5055816620588303;0.5285871624946594;0.8125
75;0.5055817872285843;0.5289918780326843;0.8125
76;0.5055814146995544;0.5287014345328013;0.8125
77;0.5055819183588028;0.5281707048416138;0.8125
78;0.5055817186832428;0.5291614532470703;0.8125
79;0.5055847585201263;0.5278423925240835;0.8125
80;0.5055809944868088;0.528881847858429;0.8125
